Sector,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1 ALIMENTAC. BEBIDAS Y T...,"431.667,76","435.638,47","402.461,99","394.643,31","464.431,90","491.897,07","531.120,26","553.119,06","648.716,98","694.648,39","759.016,76","677.950,48","751.667,70","795.309,99","896.408,52","931.366,74","886.337,72"
2 PRODUCTOS ENERGETICOS,"11.497,74","18.188,07","6.791,71","5.898,97","7.238,39","7.665,14","2.606,96","1.334,65","1.453,41","1.489,30","4.015,49","3.891,13","4.519,10","4.562,42","4.529,40","12.532,79","12.435,11"
3 MATERIAS PRIMAS,"25.237,09","26.463,35","24.327,69","28.355,72","42.064,04","79.740,32","42.424,04","45.011,86","48.442,29","53.518,70","63.468,87","60.205,33","68.468,47","69.965,12","103.444,73","108.334,13","60.065,68"
4 SEMIMANUFACTURAS,"142.057,41","148.515,12","119.709,50","141.661,71","171.962,19","123.720,86","145.047,82","163.617,51","154.027,46","152.778,88","185.027,93","210.513,50","233.856,50","260.699,79","258.929,17","315.282,47","282.003,66"
5 BIENES DE EQUIPO,"159.354,43","158.879,65","120.249,22","82.467,09","105.025,64","128.711,93","165.017,15","126.933,23","136.193,61","141.338,83","146.064,04","166.399,28","152.867,90","106.657,49","125.006,48","157.613,43","161.439,26"
6 SECTOR AUTOMOVIL,"2.551,63","2.739,99","3.146,95","3.259,04","4.113,50","4.337,75","3.812,69","1.110,85","1.623,11","1.245,98","1.957,01","2.044,31","3.146,50","3.187,17","5.676,72","6.255,55","12.628,61"
7 BIENES DE CONSUMO DURADERO,"3.288,14","4.107,75","2.830,92","6.451,32","4.290,12","3.689,42","5.819,97","9.370,67","6.001,57","6.519,60","4.553,30","7.255,34","9.951,43","6.357,54","5.223,58","6.681,48","10.706,12"
8 MANUFACTURAS DE CONSUMO,"19.823,34","19.833,42","17.347,13","15.593,53","18.618,53","18.796,39","20.672,99","21.321,33","24.901,22","22.943,62","26.277,86","31.094,17","41.720,23","59.786,66","45.658,47","48.581,92","73.685,82"
9 OTRAS MERCANCIAS,"2.771,97","12.802,07","22.635,07","12.044,86","14.319,82","19.186,89","7.802,08","3.398,64","8.888,23","9.378,19","4.855,64","6.484,13","11.434,57","3.458,04","1.459,20","2.912,23","26.700,93"
